  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.8555, 'grad_norm': 78793552.0, 'learning_rate': 7.020057306590258e-05, 'epoch': 0.0}
{'loss': 27.6203, 'grad_norm': 21231436.0, 'learning_rate': 7.153772683858643e-05, 'epoch': 0.0}
{'loss': 27.3863, 'grad_norm': 4791566.5, 'learning_rate': 7.287488061127029e-05, 'epoch': 0.0}
{'loss': 27.7994, 'grad_norm': 16395119.0, 'learning_rate': 7.421203438395415e-05, 'epoch': 0.0}
{'loss': 27.6091, 'grad_norm': 4231608.5, 'learning_rate': 7.554918815663801e-05, 'epoch': 0.0}
{'loss': 27.3419, 'grad_norm': 4587166.0, 'learning_rate': 7.688634192932187e-05, 'epoch': 0.0}
{'loss': 27.4434, 'grad_norm': 7204787.0, 'learning_rate': 7.822349570200573e-05, 'epoch': 0.0}
{'loss': 27.004, 'grad_norm': 15357375.0, 'learning_rate': 7.956064947468958e-05, 'epoch': 0.0}
{'loss': 27.4773, 'grad_norm': 14832463.0, 'learning_rate': 8.089780324737345e-05, 'epoch': 0.0}
{'loss': 27.6885, 'grad_norm': 25870230.0, 'learning_rate': 8.22349570200573e-05, 'epoch': 0.0}
{'loss': 27.8191, 'grad_norm': 13937411.0, 'learning_rate': 8.357211079274117e-05, 'epoch': 0.0}
{'loss': 27.5801, 'grad_norm': 10512772.0, 'learning_rate': 8.490926456542502e-05, 'epoch': 0.0}
{'loss': 26.3853, 'grad_norm': 8571598.0, 'learning_rate': 8.624641833810888e-05, 'epoch': 0.0}
{'loss': 27.4187, 'grad_norm': 13465848.0, 'learning_rate': 8.758357211079273e-05, 'epoch': 0.0}
{'loss': 27.2189, 'grad_norm': 5570490.0, 'learning_rate': 8.89207258834766e-05, 'epoch': 0.0}
{'loss': 27.5607, 'grad_norm': 56697832.0, 'learning_rate': 9.025787965616045e-05, 'epoch': 0.0}
{'loss': 26.9059, 'grad_norm': 42134992.0, 'learning_rate': 9.159503342884432e-05, 'epoch': 0.0}
{'loss': 27.9971, 'grad_norm': 3443222.25, 'learning_rate': 9.293218720152817e-05, 'epoch': 0.0}
{'loss': 27.3409, 'grad_norm': 45679300.0, 'learning_rate': 9.426934097421204e-05, 'epoch': 0.0}
{'loss': 27.0474, 'grad_norm': 28365314.0, 'learning_rate': 9.560649474689588e-05, 'epoch': 0.0}
{'loss': 26.9139, 'grad_norm': 6326568.0, 'learning_rate': 9.694364851957976e-05, 'epoch': 0.0}
{'loss': 27.3027, 'grad_norm': 12342200.0, 'learning_rate': 9.82808022922636e-05, 'epoch': 0.0}
{'loss': 26.9275, 'grad_norm': 14393817.0, 'learning_rate': 9.961795606494747e-05, 'epoch': 0.0}
{'loss': 26.9766, 'grad_norm': 4505330.0, 'learning_rate': 0.00010095510983763133, 'epoch': 0.0}
{'loss': 26.6972, 'grad_norm': 24611080.0, 'learning_rate': 0.00010229226361031519, 'epoch': 0.0}
{'loss': 27.0731, 'grad_norm': 6942368.5, 'learning_rate': 0.00010362941738299905, 'epoch': 0.0}
{'loss': 26.9493, 'grad_norm': 54846124.0, 'learning_rate': 0.0001049665711556829, 'epoch': 0.0}
{'loss': 27.2322, 'grad_norm': 59882960.0, 'learning_rate': 0.00010630372492836677, 'epoch': 0.0}
{'loss': 27.6624, 'grad_norm': 2876379.5, 'learning_rate': 0.00010764087870105061, 'epoch': 0.0}
{'loss': 27.0437, 'grad_norm': 3597435.25, 'learning_rate': 0.00010897803247373448, 'epoch': 0.0}
{'loss': 27.3274, 'grad_norm': 14308954.0, 'learning_rate': 0.00011031518624641833, 'epoch': 0.0}
{'loss': 27.6482, 'grad_norm': 5518738.0, 'learning_rate': 0.0001116523400191022, 'epoch': 0.0}
