  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 20.4225, 'grad_norm': 6730995.5, 'learning_rate': 9.469566757857078e-06, 'epoch': 0.17}
{'loss': 19.4328, 'grad_norm': 26762630.0, 'learning_rate': 9.46935864855947e-06, 'epoch': 0.17}
{'loss': 20.2851, 'grad_norm': 25673092.0, 'learning_rate': 9.469150500732933e-06, 'epoch': 0.17}
{'loss': 20.8246, 'grad_norm': 3236672.0, 'learning_rate': 9.468942314379262e-06, 'epoch': 0.17}
{'loss': 20.2903, 'grad_norm': 10544281.0, 'learning_rate': 9.468734089500253e-06, 'epoch': 0.17}
{'loss': 20.0855, 'grad_norm': 4221732.5, 'learning_rate': 9.468525826097702e-06, 'epoch': 0.17}
{'loss': 20.0998, 'grad_norm': 7200663.5, 'learning_rate': 9.468317524173402e-06, 'epoch': 0.17}
{'loss': 19.5502, 'grad_norm': 6927434.0, 'learning_rate': 9.46810918372915e-06, 'epoch': 0.17}
{'loss': 20.4989, 'grad_norm': 5844163.0, 'learning_rate': 9.467900804766743e-06, 'epoch': 0.17}
{'loss': 19.8896, 'grad_norm': 7462771.0, 'learning_rate': 9.467692387287974e-06, 'epoch': 0.17}
{'loss': 19.9313, 'grad_norm': 41962336.0, 'learning_rate': 9.467483931294644e-06, 'epoch': 0.17}
{'loss': 19.3445, 'grad_norm': 6253275.5, 'learning_rate': 9.467275436788548e-06, 'epoch': 0.17}
{'loss': 20.8707, 'grad_norm': 9796818.0, 'learning_rate': 9.467066903771483e-06, 'epoch': 0.17}
{'loss': 20.1601, 'grad_norm': 3999286.25, 'learning_rate': 9.466858332245246e-06, 'epoch': 0.17}
{'loss': 20.4076, 'grad_norm': 11575955.0, 'learning_rate': 9.466649722211635e-06, 'epoch': 0.17}
{'loss': 19.65, 'grad_norm': 8899632.0, 'learning_rate': 9.466441073672453e-06, 'epoch': 0.17}
{'loss': 20.6725, 'grad_norm': 23739406.0, 'learning_rate': 9.466232386629493e-06, 'epoch': 0.17}
{'loss': 19.8577, 'grad_norm': 6451099.0, 'learning_rate': 9.466023661084555e-06, 'epoch': 0.17}
{'loss': 21.1277, 'grad_norm': 2327446.25, 'learning_rate': 9.46581489703944e-06, 'epoch': 0.17}
{'loss': 20.1556, 'grad_norm': 10892340.0, 'learning_rate': 9.465606094495949e-06, 'epoch': 0.17}
{'loss': 19.6315, 'grad_norm': 3933091.25, 'learning_rate': 9.46539725345588e-06, 'epoch': 0.17}
{'loss': 20.3238, 'grad_norm': 5191160.5, 'learning_rate': 9.46518837392103e-06, 'epoch': 0.17}
{'loss': 20.4177, 'grad_norm': 10651775.0, 'learning_rate': 9.464979455893206e-06, 'epoch': 0.17}
{'loss': 20.5033, 'grad_norm': 11438206.0, 'learning_rate': 9.464770499374206e-06, 'epoch': 0.17}
{'loss': 20.3798, 'grad_norm': 4576431.0, 'learning_rate': 9.464561504365832e-06, 'epoch': 0.17}
{'loss': 20.1064, 'grad_norm': 10571210.0, 'learning_rate': 9.464352470869883e-06, 'epoch': 0.17}
{'loss': 20.2479, 'grad_norm': 22755962.0, 'learning_rate': 9.464143398888166e-06, 'epoch': 0.17}
{'loss': 20.4169, 'grad_norm': 2743560.75, 'learning_rate': 9.46393428842248e-06, 'epoch': 0.17}
{'loss': 21.0127, 'grad_norm': 4270728.5, 'learning_rate': 9.46372513947463e-06, 'epoch': 0.17}
{'loss': 20.4883, 'grad_norm': 14443335.0, 'learning_rate': 9.463515952046414e-06, 'epoch': 0.17}
{'loss': 19.857, 'grad_norm': 12114404.0, 'learning_rate': 9.463306726139639e-06, 'epoch': 0.17}
{'loss': 19.9623, 'grad_norm': 2608666.5, 'learning_rate': 9.46309746175611e-06, 'epoch': 0.17}
{'loss': 20.4957, 'grad_norm': 2959707.25, 'learning_rate': 9.462888158897627e-06, 'epoch': 0.17}
{'loss': 21.1161, 'grad_norm': 4742632.5, 'learning_rate': 9.462678817565999e-06, 'epoch': 0.17}
{'loss': 20.5904, 'grad_norm': 5624020.0, 'learning_rate': 9.462469437763027e-06, 'epoch': 0.17}
{'loss': 20.6451, 'grad_norm': 24613416.0, 'learning_rate': 9.462260019490518e-06, 'epoch': 0.17}
{'loss': 21.0157, 'grad_norm': 27909814.0, 'learning_rate': 9.462050562750276e-06, 'epoch': 0.17}
{'loss': 20.8979, 'grad_norm': 4571639.5, 'learning_rate': 9.461841067544107e-06, 'epoch': 0.17}
